tweet_id,followers,date,message_detail,retweet_count,username,label;;
1488256283748806660,77,2022-02-01 00:02:03,RT @By_karatas57: Teknik analiz çizimleri için  Reisi takip ediniz 😎 mal cakmaz grafik cizer o kadar 🙂 👉👉 @Yalniz_Kurt5050 👈👈  #tektu #tetmt #tezol #tgsas #thayo #tire #tkfen  #tknsa  #tlman #tmpol #tmsn #toasa  #trcas  #trgyo #TRILC #tsgyo  #tskb  #tspor #ttkom  https://t.co/dwQIVJDpLm,0,enginenginbey1,;;
1488256293303422979,4129,2022-02-01 00:02:05,🔥 Sizlerin Tercihiyle Bugün ''Gates of Olympus '' Günü!  👑 ' Gates of Olympus ' Oyununda Geçerli %50 Freespin #Atlasbet'te  ⚔️ Tüm Detaylar Site Promosyon Kısmında Yer Almaktadır!  📌 https://t.co/LvXRmJ5fdY https://t.co/rBPaQBwl0E,0,AtlasCasinoSpor,;;
1488256297896185863,1393,2022-02-01 00:02:06,RT @1453fy: CHP & TROL AĞI ⤵️  CHP özel trol ağı kurmuş buradan trol orduları ile hedef belirledikleri isimlere itibar suikastı yapıyorlar.   https://t.co/cWIatL3NE4  Bu trol ordusunun başında da CHP’li danışman Mücahit Avcı var. @avcimucahit https://t.co/8XFUH2AzJg,0,Hlya47815818,;;
"1488256313587122182,7663,2022-02-01 00:02:10,""Prof. Dr. Ruhi Ersoy: Günümüz savaşlarının terör örgütleri üzerinden vekalet ve pozitif değer setleri ile """"Post Truth"""" algılar yoluyla hedef ülkeyi kendi iç dinamikleriyle uğraştırma savaşları olduğu bir çağda yaşadığımızı da unutmamak lazım.  https://t.co/bhoRlrVpk0"",0,radyo80,";;
"1488256312928575499,104,2022-02-01 00:02:10,""RT @eco_borsa: Gün sonu #alkim + % 0,41 (19,62 üstü kapanış yapması iyi oldu) #genil + %3,52 (çanak kırılımı devam ederse 21,94 hedef)"",0,oguz2oguz,";;
1488256323045183498,110,2022-02-01 00:02:12,#TOASO  Düşen kırılıp onaylı bir şekilde yolumuza devam ediyoruz.  Ytd https://t.co/8ALmVAr0Ke,0,kydostubist,;;
"1488256335682678791,77,2022-02-01 00:02:15,""RT @By_karatas57: Dürüst,  güvenilir, mal kitlemeyen nadir birisi adam gibi adam. Daima seninleyiz Reis 🤘🤘 👉👉 @Yalniz_Kurt5050 👈👈  #oylum #mtrks #mtryo #Mzhld #naten #netas #oylum #ntgaz #NTHOL #Nugyo #NUHCM   #orge #orma  #osmen #ostim  #oyakc #otkar #oyayo   https://t.co/EnbqOr2nhL"",0,enginenginbey1,";;
"1488256337603710978,8009,2022-02-01 00:02:16,""@tremreee #euhol  destek 3,55 3,16 ya gelirse güçlü tepki gelebilir https://t.co/GS6GET26o9"",0,hasan_yavuzturk,";;
1488256344574599176,0,2022-02-01 00:02:17,@YalnArif2 #borsacıselim MRGYO suan yutupta borsacı selım bu hısse analız edıyor hıssesını merak eden ızleyebılır yayına katılıp hıssesını sorabılır nokta atıslarla super bılgılı bır hoca arkadaslar ızleyıp kendınız karar verın,0,SskrBar,;;
1488256350371168258,27,2022-02-01 00:02:19,#cemas çakma babalar türedi bildiği varmış olsa buraya yazarmisin yaban çakalı 🤣🤣🤣 https://t.co/0NZZMnVbfb,0,UYGUNYunusss,;;
1488256353948811269,32,2022-02-01 00:02:19,@EKOTRADER1 Vbtyz hedef var mı?,0,abdulahsivri,;;
1488256368276656131,0,2022-02-01 00:02:23,RT @gokhanozdek71: Arkadaşlar herkes şu hissede misin bu hissede misin diye soruyorlar ben yeminle hiç bir hissede yokum sadece şunu diyeyim borsayı bıraktım kitabı çıkardığım gün öyle bir karar aldım tövbeliyim #KONTR üzerimden para kazandılar yine diyorum bu #KONTR deki hesap araştırılsın,0,recep12726982,;;
1488256370612789256,74,2022-02-01 00:02:23,2. SEZON 1.BÖLÜM PORTFÖY DURUMUM  80 #AKSA 200 #BRISA 540 #EREGL 815 #HEKTS 165 #KORDS 905 #SASA 110 #TOASO 30 #TUPRS 1000 #VESBE  OCAK AYI YATIRIM 2480 TL  30 #AKSA 40 #EREGL 110 #HEKTS 15 #KORDS 5 #SASA 10 #TOASO 104 #VESBE  #temettueemekliliği #hedef2030,0,IyapimH,;;
1488256385838108678,204,2022-02-01 00:02:27,@memduhtv Gündem değiştirme hocam. Laf dalaşıyla şimşekleri yine KK. na yönlendirip AKP seçmeninin gazını alan bir siyasi taktik. Karşıda her zaman çığırkan bir düşman olacak ki Erdoğan onu hedef yapıp alttan işini yürütsün 😏  #TrollAmca,0,hurriyetsevdam,;;
